,img_no,site_url,page_url,src,alt,model_alts,approved_alt
16,17,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/exhibit/public/media/image/180918monarchbutterflyrosapinedasmithsonianbutterfly-15.jpg.webp?itok=5Cnkrg-I,Monarch butterfly sitting on a pink flower.,['a monarch butterfly sits on some pink flowers'],
17,18,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/exhibit/public/media/image/nhb2017-000221.jpg.webp?itok=Q8SndU-h,A fossilized T. rex biting a triceratops,['an image of a dinosaur skeleton on a black background'],
18,19,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/exhibit/public/media/image/1809111400x930wolfspider-rosapineda-smithsonianrp-8-2.jpg.webp?itok=5ViO7yJe,Wolf spider,"[""a close up of a spider's face on a black background""]",
19,20,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/exhibit/public/media/image/t-rex-vs-triceratops.png.webp?itok=QPm9NBBN,Tyrannosaurus rex attacking a Triceratops,['a dinosaur skeleton is on display in a museum'],
20,21,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/circle/public/media/image/henry.jpg.webp?itok=McIUgnBE,Henry the elephant front view on new platform in Rotunda ,['a statue of an elephant in the middle of a museum'],
21,22,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/circle/public/media/image/africanvoicesteaser2.png.webp?itok=pLz42zmd,a bird flying out of a cage,['a painting of birds in a cage with a bird in the cage'],
22,23,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/circle/public/media/image/screen-shot-2022-08-18-32308-pm0.png.webp?itok=yEpWoGRz,Black and Yellow Tucan in tree,['a colorful toucan perched on a tree branch'],
23,24,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/circle/public/media/image/bone-halteaser.jpg.webp?itok=eDgESnfs,a bird skeleton,['an image of a bird skeleton with a long neck'],
24,25,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/circle/public/media/image/180918monarchbutterflyrosapinedasmithsonianbutterfly-15.jpg.webp?itok=0LzmDVci,Monarch butterfly sitting on a pink flower.,['a monarch butterfly is sitting on some pink flowers'],
25,26,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/circle/public/media/image/nhb2017-000221.jpg.webp?itok=XhojSh3M,A fossilized T. rex biting a triceratops,['an image of a dinosaur skeleton with a knife'],
26,27,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/circle/public/media/image/hoteaser2.jpg.webp?itok=e6E12Thn,An illustration of a human ancestor,['a painting of a man with dreadlocks in front of a mountain'],
27,28,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/circle/public/media/image/ancientegyptteaser.png.webp?itok=31KUOnN6,a sarcophagus ,['an egyptian statue is on display in front of a black background'],
28,29,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/circle/public/media/image/78-7006.jpg.webp?itok=seWvIYrS,"four colorful (green, yellow, red, and pink) gems on black background ",['a group of different colored gems on a black background'],
29,30,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/circle/public/media/image/leopard.jpg.webp?itok=A4g6FqSH,cheetah on branch with other animal,['a leopard and gazelle on a branch in a museum'],
30,31,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/circle/public/media/image/pr-lightsout-56-entry2-nik6807p-babaktafreshi-twan.jpg.webp?itok=DW35nh9v,a bright halo of stars over a dark landscape ,"['the milky way over alabaster, california - milky way stock videos & royalty-free footage']",
31,32,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/circle/public/media/image/megteaser.jpg.webp?itok=sQgJpFXE,An image of the megalodon model hanging from the ceiling of the Natural History Museum.,['a large shark with its mouth open in a museum'],
32,33,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/circle/public/media/image/notb-collage-2.jpg.webp?itok=YI_3zQh-,a collage of 7 images with a variety of books ,"['a collage of images including books, paintings, and other items']",
33,34,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/circle/public/media/image/1809111400x930wolfspider-rosapineda-smithsonianrp-8-2.jpg.webp?itok=a-rYGhfW,Wolf spider,['a close up of a spider with large eyes'],
34,35,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/circle/public/media/image/lapislazuli2.jpg.webp?itok=l3z1FIb9,a large piece of blue lapis lazuli,['a blue stone on a pedestal with a purple background'],
35,36,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/circle/public/media/image/brandon-b-sign-20.jpeg.webp?itok=-0IVBNXK,a black man with orange hair kneeling under giant sunflower with a sign reads nature is the pillar of community,['a man kneeling in front of sunflowers with a sign'],
36,37,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/circle/public/media/image/children-qrius-jrpaulfettersnmnh1807141457.jpg.webp?itok=xdvQnIXd,Two young girls in white lab coats use a hand lens to examine models of fossils at a table in Q?rius jr. – a discovery room.,['two girls in white lab coats looking at an animal skull'],
37,38,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/circle/public/media/image/1607281600x1067schoolprograms3o0a0239jennifer-renterianmnh.jpg.webp?itok=K2yZfHuE,"Students examine Museum collection objects as part of a Q?rius school program. Photo by Jennifer Renteria, Smithsonian.",['a group of people looking at items in a store'],
38,39,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/circle/public/media/image/santoceanhall.jpg.webp?itok=VI_40Huk,a right whale hangs in the ocean hall,['a large blue whale with its mouth open in a museum'],
39,40,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/circle/public/media/image/mosasaur.jpg.webp?itok=wqX9lItl,A mosasaur swims with sharks,['an image of a shark swimming in the ocean'],
40,41,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/circle/public/media/image/sw-corner-display.jpg.webp?itok=1kIGUWwG,several plants in the corner of the lounge with panels describing how plants get around,['various plants are displayed on a table in a museum'],
41,42,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/circle/public/media/image/t-rex-vs-triceratops.png.webp?itok=shXoOTmk,Tyrannosaurus rex attacking a Triceratops,['a large dinosaur skeleton is on display in a museum'],
42,43,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/featured/public/media/image/henry.jpg.webp?itok=3YgviVvU,Henry the elephant front view on new platform in Rotunda ,['a statue of an elephant in the middle of a museum'],
43,44,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/featured/public/media/image/africanvoicesteaser2.png.webp?itok=kUS2JG32,a bird flying out of a cage,['a painting of a bird in a cage on a green background'],
44,45,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/featured/public/media/image/screen-shot-2022-08-18-32308-pm0.png.webp?itok=zwLpQ3eE,Black and Yellow Tucan in tree,['a colorful toucan perched on a tree branch'],
45,46,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/featured/public/media/image/bone-halteaser.jpg.webp?itok=0v-e4rar,a bird skeleton,['an image of a bird skeleton with a long neck'],
46,47,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/featured/public/media/image/180918monarchbutterflyrosapinedasmithsonianbutterfly-15.jpg.webp?itok=W3qnzEnD,Monarch butterfly sitting on a pink flower.,['a monarch butterfly sits on some pink flowers'],
47,49,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/featured/public/media/image/hoteaser2.jpg.webp?itok=Oq5qV8fj,An illustration of a human ancestor,['a painting of a man with dreadlocks and a mountain in the background'],
48,50,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/featured/public/media/image/ancientegyptteaser.png.webp?itok=RDNF_Xac,a sarcophagus ,"[""an ancient egyptian woman's headdress is on display in a museum""]",
49,51,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/featured/public/media/image/78-7006.jpg.webp?itok=sgaSVXPe,"four colorful (green, yellow, red, and pink) gems on black background ",['four different colored gems are shown on a black background'],
50,52,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/featured/public/media/image/leopard.jpg.webp?itok=Gq0_6F0n,cheetah on branch with other animal,['a leopard resting on a tree branch next to a deer'],
51,54,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/featured/public/media/image/megteaser.jpg.webp?itok=lRSyAVfu,An image of the megalodon model hanging from the ceiling of the Natural History Museum.,['great white shark at the museum of natural history in new york city'],
52,55,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/featured/public/media/image/notb-collage-2.jpg.webp?itok=7mvb5CKf,a collage of 7 images with a variety of books ,"['a collage of pictures including a painting, a butterfly, and other items']",
53,56,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/featured/public/media/image/1809111400x930wolfspider-rosapineda-smithsonianrp-8-2.jpg.webp?itok=No8kxMxz,Wolf spider,['a close up photo of a spider on a black background'],
54,57,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/featured/public/media/image/lapislazuli2.jpg.webp?itok=qTka5wlf,a large piece of blue lapis lazuli,['lapis lazuli lapis lazuli lapis lazuli lapis lazuli lapis lazuli lapis lazuli lapis lazuli lapis'],
55,59,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/featured/public/media/image/children-qrius-jrpaulfettersnmnh1807141457.jpg.webp?itok=aZoEUl9u,Two young girls in white lab coats use a hand lens to examine models of fossils at a table in Q?rius jr. – a discovery room.,['two girls in white lab coats looking at an animal skull'],
56,60,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/featured/public/media/image/1607281600x1067schoolprograms3o0a0239jennifer-renterianmnh.jpg.webp?itok=7u1Gf56K,"Students examine Museum collection objects as part of a Q?rius school program. Photo by Jennifer Renteria, Smithsonian.",['a group of people looking at items in a museum'],
57,61,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/featured/public/media/image/santoceanhall.jpg.webp?itok=YQcnko2S,a right whale hangs in the ocean hall,['a whale with its mouth open in a museum'],
58,62,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/featured/public/media/image/mosasaur.jpg.webp?itok=X2QwkbI0,A mosasaur swims with sharks,['an image of an orca and a shark in the ocean'],
59,63,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/featured/public/media/image/sw-corner-display.jpg.webp?itok=-mTEarQ-,several plants in the corner of the lounge with panels describing how plants get around,['various plants are displayed on display in a museum'],
60,64,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/featured/public/media/image/t-rex-vs-triceratops.png.webp?itok=8jv1DnY0,Tyrannosaurus rex attacking a Triceratops,['a dinosaur skeleton is on display in a museum'],
61,65,https://naturalhistory.si.edu,https://naturalhistory.si.edu/exhibits,https://naturalhistory.si.edu/sites/default/files/styles/circle/public/media/image/cellphone-roundel-and-week-signs-010.png.webp?itok=X1Ys7htC,cellphone unseen connections in white over image of smartphone showing pictures of a another phone of another phone,['cellphone unseen connections'],
62,67,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/anthropology/programs/repatriation-office/repatriation-review-committee/committee-members,https://naturalhistory.si.edu/sites/default/files/styles/page_hero/public/media/image/e200460-shoshone-drum.jpg.webp?itok=my6wzYIR,Shoshone Dance Shield E200460 ,['a native american painted paddle with two deer on it'],
63,68,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/anthropology/programs/repatriation-office/repatriation-review-committee/committee-members,https://naturalhistory.si.edu/sites/default/files/styles/square/public/media/image/j-arsenault-4.jpg.webp?itok=UUBnmbYv,Jaime Arsenault,['a woman in a business suit smiling at the camera'],
64,69,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/anthropology/programs/repatriation-office/repatriation-review-committee/committee-members,https://naturalhistory.si.edu/sites/default/files/styles/square/public/media/image/irene-dundas0.png.webp?itok=QLnFnzvw,Irene Dundas,['a woman with long black hair standing in front of a painting'],
65,70,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/anthropology/programs/repatriation-office/repatriation-review-committee/committee-members,https://naturalhistory.si.edu/sites/default/files/styles/square/public/media/image/darlenemiller2016.jpg.webp?itok=64uJrMsr,Darlene Miller-draft,['an older woman with white hair wearing sunglasses'],
66,71,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/anthropology/programs/repatriation-office/repatriation-review-committee/committee-members,https://naturalhistory.si.edu/sites/default/files/styles/square/public/media/image/george-milner-2.jpg.webp?itok=KeiZ_4oz,George Milner,['a man with glasses and a beard wearing a hawaiian shirt'],
67,72,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/anthropology/programs/repatriation-office/repatriation-review-committee/committee-members,https://naturalhistory.si.edu/sites/default/files/styles/square/public/media/image/bonniestyles-2018.jpg.webp?itok=T_sYKanj,Bonnie Styles,['a smiling woman wearing glasses and a blue shirt'],
68,73,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/anthropology/programs/repatriation-office/repatriation-review-committee/committee-members,https://naturalhistory.si.edu/sites/default/files/styles/square/public/media/image/vincas-steponaitis-2.jpg.webp?itok=QPHodQFE,Vincas Steponaitis,['a close up of a man in a blue shirt and tie'],
69,74,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/anthropology/programs/repatriation-office/repatriation-review-committee/committee-members,https://naturalhistory.si.edu/sites/default/files/styles/square/public/media/image/placeholder-person-vector-transparent.png.webp?itok=ZVlmxD7w,Placeholder for person,['a black and white avatar icon on a transparent background'],
70,77,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/anthropology/programs/repatriation-office/repatriation-review-committee/committee-members/ian-thompson,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/ian-thompson2014_0.jpg.webp?itok=omb3soJE,Ian Thompson,['a man in a blue and white checkered shirt'],
71,79,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/smithsonian-marine-station/news/bringing-sea-schools,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/examining-shark-jaw-3804.jpg.webp?itok=5aSL__DB,Kids examine shark jaw,['two girls sitting at a table with a toothbrush in their hands'],
72,80,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/smithsonian-marine-station/news/bringing-sea-schools,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/shells-1-4335.jpg.webp?itok=9EpDoxM_,Shelf of shells 1,['various shells are displayed on shelves in a museum'],
73,81,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/smithsonian-marine-station/news/bringing-sea-schools,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/rachel-rigolosi.jpg.webp?itok=7bdU0aNy,Rachel Rigolosi,['a woman stands in front of a classroom full of students'],
74,84,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/anthropology/programs/repatriation-office/repatriation-review-committee/committee-members/bonnie-styles,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/bonniestyles-2018.jpg.webp?itok=Apdtb8ol,Bonnie Styles,['a smiling woman wearing glasses and a blue shirt'],
75,87,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/anthropology/programs/repatriation-office/repatriation-review-committee/committee-members/vincas-steponaitis,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/vincas-steponaitis-2.jpg.webp?itok=MmlMvViU,Vincas Steponaitis,['a man with glasses and a tie sitting in front of bookshelves'],
76,90,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/anthropology/programs/repatriation-office/repatriation-review-committee/committee-members/darlene-miller,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/darlenemiller2016.jpg.webp?itok=_2TRdZFS,Darlene Miller-draft,['a woman with white hair wearing sunglasses and a necklace'],
77,93,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/anthropology/programs/repatriation-office/repatriation-review-committee/committee-members/george-milner,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/george-milner-2.jpg.webp?itok=vcT6lfV1,George Milner,['a man with a white beard and glasses wearing a hawaiian shirt'],
78,96,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/anthropology/programs/repatriation-office/repatriation-review-committee/committee-members/walt-lara-sr,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/walterlara.jpg.webp?itok=Gz2Qoz-Y,Walt Lara,['an older man in a red shirt with beads around his neck'],
79,101,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/anthropology/programs/repatriation-office/repatriation-review-committee/committee-members/jaime-arsenault,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/j-arsenault-4.jpg.webp?itok=Vj1ga0Sr,Jaime Arsenault,['a woman in a business suit smiling at the camera'],
80,103,https://naturalhistory.si.edu,https://naturalhistory.si.edu/staff/diana-marsh,https://naturalhistory.si.edu/sites/default/files/styles/profile/public/media/image/anthro-marsh.jpg.webp?itok=QzKNtMis,Portrait of Dr. Diana Marsh,['a smiling woman wearing glasses and a necklace in front of bookshelves'],
81,105,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/entomology/collections-overview/coleoptera/catalog-hispines-world,https://naturalhistory.si.edu/sites/default/files/styles/hero/public/media/image/ent-hero-jewels-wandoo-np.jpg.webp?itok=UCCWT_j_,Hero image,['several insects are sitting on some pink flowers'],
82,107,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/social-studies/written-in-bone-microsite,https://naturalhistory.si.edu/sites/default/files/styles/resource_side/public/media/image/wibtraining-next-generationr.jpg.webp?itok=-d2tiIdv,Smithsonian forensic anthropologist points out area of interest in a piece of bone to students.,['a group of people looking at a box of fossils'],
83,109,https://naturalhistory.si.edu,https://naturalhistory.si.edu/staff/carol-r-butler,https://naturalhistory.si.edu/sites/default/files/styles/profile/public/media/image/nmnh-2022-00461-cropped.jpg.webp?itok=GKZDxEc5,"A headshot of Carol Butler, a white woman with gray hair wearing a white shirt, black sweater and colorful scarf. ",['a woman with gray hair and a blue scarf'],
84,111,https://naturalhistory.si.edu,https://naturalhistory.si.edu/staff/michael-lawrence,https://naturalhistory.si.edu/sites/default/files/styles/profile/public/media/image/michaellawrencenmnh-2019-square.jpg.webp?itok=6GfNZrb9,Headshot of Michael Lawrence,['a man in a suit and blue shirt posing for a photo'],
85,113,https://naturalhistory.si.edu,https://naturalhistory.si.edu/staff/sandra-lovinguth,https://naturalhistory.si.edu/sites/default/files/styles/profile/public/media/image/sandralovinguth.jpg.webp?itok=rhbu5pOi,Headshot of Sandra Lovinguth,['a woman wearing glasses and a suit jacket'],
86,115,https://naturalhistory.si.edu,https://naturalhistory.si.edu/staff/matthew-mcdermott,https://naturalhistory.si.edu/sites/default/files/styles/profile/public/media/image/matthewmcdermott-nmnh-2019-square.jpg.webp?itok=QUPCWFEe,Headshot of Matt McDermott,['a man with white hair and a blue shirt and red tie'],
87,117,https://naturalhistory.si.edu,https://naturalhistory.si.edu/staff/wendy-wiswall,https://naturalhistory.si.edu/sites/default/files/styles/profile/public/media/image/wendywiswall.jpg.webp?itok=m60tX_IU,Headshot of Wendy Wiswall,['a woman with grey hair and white shirt smiling'],
88,119,https://naturalhistory.si.edu,https://naturalhistory.si.edu/staff/chun-hsi-wong,https://naturalhistory.si.edu/sites/default/files/styles/profile/public/media/image/nmnh-2019-0201810.jpg.webp?itok=IcdMAuIi,Headshot of Chun-Hsi Wong,['an asian man wearing glasses and a tie'],
89,121,https://naturalhistory.si.edu,https://naturalhistory.si.edu/staff/jim-wood,https://naturalhistory.si.edu/sites/default/files/styles/profile/public/media/image/jimwood-nmnh-2020-square.jpg.webp?itok=sw_iWHAr,Headshot of Jim Wood,['a man with a beard and a sweater smiling'],
90,123,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/paleontology/worksheet-forgotten-elephants-deep-time,https://naturalhistory.si.edu/sites/default/files/styles/resource_side/public/media/image/181003-smithsonian-science-how-logo-300x300.png.webp?itok=NDQloUrg,Smithsonian Science How,['the science how logo on a black background'],
91,125,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/featured-collections/what-makes-things-blue,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/201019graphic-roygbiv-01-01.png.webp?itok=Mrbt4JWt,"Spectrum of colors of visible light, from pink to red, with a scale from 400 to 700 nanometers beneath it.",['the spectrum of light is shown in this diagram'],
92,126,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/featured-collections/what-makes-things-blue,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/210202blue-light-01-2000x1333.png.webp?itok=IJ94G7J9,Diagram of atom with electron absorbing energy and reflecting blue light.,['a diagram showing the different wavelengths of light'],
93,127,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/featured-collections/what-makes-things-blue,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/vacciniumcorymbosum01v2-900x600.jpg.webp?itok=0lnGnbAw,Highbush blueberry plant with many blueberries on it.,['a close up of blueberries growing on a bush'],
